id,group,ComprehensionCheck,SAPearson,SAKoelle,ConfidenceKoelle,Gender,Age,SAMonteroPublic,SAMonteroHome,LParking,LCarpark,LServicearea,LPavement,LHome,LDriving,LPassenger,LPub,LWorkplace,AAlone,APartner,AFriends,AColleagues,AStrangers,AFamily
205,magical,magical,5,7,7,male,44,6,6,5,5,5,5,5,6,6,5,5,6,5,5,5,5,5
206,suspenseful,suspenseful,5,7,7,femal,32,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
207,secretive,secretive,5,7,6,femal,51,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
208,secretive,secretive,3,5,3,femal,29,2,3,2,2,2,2,3,6,6,2,1,3,3,2,1,2,3
209,suspenseful,suspenseful,5,7,7,femal,26,6,6,5,5,5,5,5,6,6,2,5,5,5,5,5,5,5
210,magical,magical,5,7,7,femal,76,4,4,5,5,5,5,5,1,1,5,5,5,5,5,5,3,5
211,magical,magical,3,4,2,femal,25,4,6,1,1,2,4,5,1,2,1,3,5,4,4,3,2,4
212,expressive,expressive,5,7,5,femal,21,4,6,4,5,3,3,5,1,6,1,3,5,5,5,5,4,5
213,secretive,secretive,5,6,6,femal,45,4,4,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
214,expressive,expressive,5,7,7,male,34,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
215,suspenseful,suspenseful,5,7,7,femal,47,6,6,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5
217,magical,magical,5,7,7,male,63,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
218,suspenseful,suspenseful,5,6,5,male,39,4,5,5,5,4,4,5,6,6,6,4,5,5,4,4,4,5
219,magical,magical,5,7,7,male,65,6,6,5,4,5,5,5,6,6,6,5,5,5,5,5,5,5
220,suspenseful,suspenseful,4,5,3,femal,30,3,5,4,4,4,2,5,6,6,6,6,5,5,4,4,2,5
221,expressive,expressive,5,6,7,femal,24,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
222,expressive,expressive,5,7,6,femal,39,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,4,5
223,secretive,secretive,5,7,7,femal,26,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
224,suspenseful,suspenseful,4,4,4,male,40,2,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,3
